style_name;food pairing;description
Berliner weisse;Aged Ham on Pretzel Bread, Havarti, Cheesecake with Raspberries;Low in alcohol, refreshingly tart, and often served with a flavored syrup like Woodruff or raspberry, the Berliner-style Weisse presents a harmony between yeast and lactic acid. These beers are very pale in color, and may be cloudy as they are often unfiltered.
Belgian white;Seafood such as grilled shrimp, Asian dishes like pad thai, and marinated chicken dishes.;Crisp and tangy with subtle citrus sweetness, low bitterness
American wheat;Saladas, sea food, chevre and fruit desserts;Usually clear in contrast to most other wheat beers, slightly tart and very refreshing.
Weizenbier;seafood and poultry dishes, salads, mild cheese, and sweet desserts;Notable clove and banana aroma from German wheat yeast. Fruity, cloudy, low hop profile.
Dunkelweizen;Roasted chicken, gouda, banana cream pie;The German-style Dunkelweizen can be considered a cross between a German-style dunkel and a hefeweizen. Distinguished by its sweet maltiness and chocolate-like character, it can also have banana and clove (and occasionally vanilla or bubblegum) esters from weizen ale yeast.
Weizenbock;Chicken and dumplings, manchego, banana bread;With flavors of bready malt and dark fruits like plum, raisin, and grape, this style is low on bitterness and high on carbonation. Balanced clove-like phenols and fruity, banana-like esters produce a well-rounded aroma.
Lambic;Pineapple ceviche, chevre, Chocolate Creme Caramel;Often known as cassis, framboise, kriek, or peche, a fruit lambic takes on the color and flavor of the fruit it is brewed with. It can be dry or sweet, clear or cloudy, depending on the ingredients. Sourness is an important part of the flavor profile, though sweetness from fruit may diminish the perceived intensity.
Gueuze;Shellfish (Mussels), Mascarpone with Fruit, Rich Chocolate Cake;Historically, they are dry and completely attenuated, exhibiting no residual sweetness either from malt, sugar or artificial sweeteners.
Faro;Pineapple ceviche, chevre, Chocolate Creme Caramel;Sweetened version of Lambic
Fruit beer;Salads, Creamy Cheeses, Vanilla Ice Cream;Fruit beer is made with fruit, or fruit extracts that are added during any portion of the brewing process, providing obvious yet harmonious fruit qualities. This idea is expanded to “field beers” that utilize vegetables and herbs.
Flanders red;Beef Carbonnade, Mimolette, Pumpkin Pie;Overall, the style is characterized by slight to strong lactic sourness, and Flanders reds sometimes include a balanced degree of acetic acid.
Oud bruin;"Oily and buttery seafood is a great match for these sweet and tart ales; lobster, shrimp, sautéed monkfish, Dungeness crab, and king salmon.";Fruity, malty, sherry wine like, slightly sour
Belgian gold ale;Beer Battered Fried Shrimp, Triple Crème, Baklava;is fruity, complex and often on the higher end of the ABV spectrum, yet are approachable to many different palates. Look for a characteristic spiciness from Belgian yeast and a highly attenuated dry finish. This style is traditionally drier and lighter in color than a Belgian-style tripel.
Tripel;Roasted Turkey, Triple Crème, Caramelized Banana Creme Brulee;Tripels are often on the higher end of the ABV spectrum, yet are approachable to many different palates. These beers are commonly bottle-conditioned and finish dry.
Saison;Seafood (Mussels), Brie, Lemon Ginger Sorbet;Beers in this category are gold to light amber in color. Often bottle-conditioned, with some yeast character and high carbonation. Specialty ingredients, including spices, may contribute a unique and signature character. 
Belgian pale ale;Tempura Fried Fish and Chips, Taleggio, Savory Bread Pudding;gold to copper in color and can have caramel or toasted malt flavor. The style is characterized by low but noticeable hop bitterness, flavor and aroma.
Belgian dark ale;play very well with both desserts and roasted meats, including beef tenderloin, filet, and even the other-other white meat, duck.;Complex, with a rich malty sweetness, significant esters and alcohol, and an optional light to moderate spiciness. The malt is rich and strong, and can have a Munich-type quality often with a caramel, toast and/or bready aroma.
Dubbel;Apple-Smoked Sausage, Washed-Rind Cheeses, Milk Chocolate;ranges from brown to very dark in color. They have a malty sweetness and can have cocoa and caramel aromas and flavors. Hop bitterness is medium-low to medium.
Pale ale;Leicester Cheddar. Pizza & Mexican Food;Low to medium maltiness, high hop bitterness, medium hop profile
American pale ale;Roasted or Grilled Meats, Mild or Medium Cheddar, Apple Pie;Characterized by floral, fruity, citrus-like, piney, resinous American hops, the American pale ale is a medium-bodied beer with low to medium caramel, and carries with it a toasted maltiness.
India pale ale;Bone-In Pork Chops, Miso Salmon, Rich Cheeses, Carrot Cake;high hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident with a medium-high to full body. This style intends to exhibit the fresh, evident character of hops.
American amber ale;Barbecue, Medium Cheddar, Banana Pound Cake;American ambers are darker in color than their pale ale cousins, the presence of caramel and crystal malts lending a toasted, toffee flavor, along with the perception of a fuller body when compared to beers without such malts.
Ordinary bitter;Roasted Chicken, Fish and Chips, Firm English Cheeses, Oatmeal Raisin Walnut Cookies;Broad style description commonly associated with cask-conditioned beers. The light- to medium-bodied ordinary bitter is gold to copper in color, with a low residual malt sweetness. Hop bitterness is medium.
Special bitter;Roasted Chicken, Fish and Chips, Firm English Cheeses, Oatmeal Raisin Walnut Cookies;Most modern bitters are softly malty, usually with a biscuity, nutty, or toasty quality.
Extra special bitter;The malt flavors complement the fried batter, while the carbonation and bitterness help cleanse the fattiness from the palette. British dishes like Bangers & Mash and Shepherds Pie ;This style is known for its balance and the interplay between malt and hop bitterness
Scottish light 60;Variety of Meats and Game, Pungent Cheeses, Creamy Desserts with Fruit;Scottish-style ales vary depending on strength and flavor, but in general retain a malt-forward character with some degree of caramel-like malt flavors and a soft and chewy mouthfeel. Some examples feature a light smoked peat flavor. Hops do not play a huge role in this style. The numbers commonly associated with brands of this style (60/70/80 and others) reflect the Scottish tradition of listing the cost, in shillings, of a hogshead (large cask) of beer. Overly smoked versions would be considered specialty examples.
Scottish heavy 70;Variety of Meats and Game, Pungent Cheeses, Creamy Desserts with Fruit;Scottish-style ales vary depending on strength and flavor, but in general retain a malt-forward character with some degree of caramel-like malt flavors and a soft and chewy mouthfeel. Some examples feature a light smoked peat flavor. Hops do not play a huge role in this style. The numbers commonly associated with brands of this style (60/70/80 and others) reflect the Scottish tradition of listing the cost, in shillings, of a hogshead (large cask) of beer. Overly smoked versions would be considered specialty examples.
Scottish Export 80;Variety of Meats and Game, Pungent Cheeses, Creamy Desserts with Fruit;Scottish-style ales vary depending on strength and flavor, but in general retain a malt-forward character with some degree of caramel-like malt flavors and a soft and chewy mouthfeel. Some examples feature a light smoked peat flavor. Hops do not play a huge role in this style. The numbers commonly associated with brands of this style (60/70/80 and others) reflect the Scottish tradition of listing the cost, in shillings, of a hogshead (large cask) of beer. Overly smoked versions would be considered specialty examples.
American brown;Grilled Meats and Vegetables, Aged Gouda, Pear Fritters;American-style brown ales have evident low to medium hop flavor and aroma and medium to high hop bitterness.
English brown;Roasted Pork, Steak, Nuts, Aged Gouda, Pear Fritters;English-style brown ales have two variations: a dry, roasted version that is said to have originated from northern England, and a sweeter, less attenuated brown ale variety that is believed to have gained favor in the southern portion of England.
Brown porter;Roasted or Grilled Meats, Gruyere, Chocolate Peanut Butter Cookies;has no roasted barley or strong burnt/black malt character. Low to medium malt sweetness, caramel and chocolate is acceptable. Hop bitterness is medium. Softer, sweeter and more caramel-like than a robust porter, with less alcohol and body. 
Robust porter;Roasted or Grilled Meats, Gruyere, Chocolate Peanut Butter Cookies;Robust porters have a roast malt flavor, often reminiscent of cocoa, but no roast barley flavor. Their caramel and malty sweetness is in harmony with the sharp bitterness of black malt.
Dry stout;Seafood (Oysters), Ham, Irish Cheddar, Chocolate Desserts;The emphasis on coffee-like roasted barley and a moderate degree of roasted malt aromas define much of the character. Hop bitterness is medium to medium high. This beer is often dispensed via nitrogen gas taps that lend a smooth, creamy body to the palate.
Sweet stout;Mexican Mole, Spicy BBQ, Buttery Cheddar, Chocolate Cake, Ice Cream; Malt sweetness, chocolate and caramel should dominate the flavor profile and contribute to the aroma. It also should have a low to medium-low roasted malt/barley-derived bitterness. Milk sugar (lactose) lends the style more body.
Oatmeal stout;Chicken in Mole Sauce, Aged Cheddar, Sweet Potato Cheesecake;This beer style is dark brown to black in color. Roasted malt character is caramel-like and chocolate-like, and should be smooth and not bitter. Coffee-like roasted barley and malt aromas are prominent.
Foreign extra stout;oysters, seafood and smoked fish.;Aroma: Strong, with pronounced fruity and roast character. Flavour: A full-bodied palate of roast, fruity character.
Imperial stout;Foie Gras, Aged Cheeses, Flour-less Chocolate Cake;Black in color, these beers typically have an extremely rich malty flavor and aroma with full, sweet malt character. Bitterness can come from roasted malts or hop additions.
Russian imperial stout;Foie Gras, Aged Cheeses, Flour-less Chocolate Cake;Black in color, these beers typically have an extremely rich malty flavor and aroma with full, sweet malt character. Bitterness can come from roasted malts or hop additions.
German pilsner;Shellfish, Chicken, Salads, White Cheddar, Shortbread Cookies;straw to pale in color with a malty sweetness that can be perceived in aroma and flavor. Perception of hop bitterness is medium to high. 
Bohemian pilsner;Shellfish, Chicken, Salads, White Cheddar, Shortbread Cookies;slightly sweet and evident malt character and a toasted, biscuit-like, bready malt character. 
American pilsner;Shellfish, Chicken, Salads, White Cheddar, Shortbread Cookies;slightly sweet and evident malt character and a toasted, biscuit-like, bready malt character. 
American lite;creamy, light-bodied fresh cheeses like Mozzarella;Little to no malt aroma, very low in hops, crisp, dry refreshing.
American standard;creamy, light-bodied fresh cheeses like Mozzarella;similar to american lite, but darker
American premium;creamy, light-bodied fresh cheeses like Mozzarella;similar to american standard, but darker
American dark;Chocolate, barbecue, lobster;Malty, some roasted malt flavour and low hops.
Munich helles;Samosas, Colby, Baklava;The malt character is soft and bready, making it a terrific complement to light dishes such as salad or fresh shellfish, like clams
Dortmunder;pork, burgers, seared venison, veal, and plain grilled steak.;Smooth medium sweetness, medium hop aroma and flavour
Munich dunkel;Sausages, Roasted Vegetables, Washed-Rind Munster, Candied Ginger Beer Cake;aroma comprised of chocolate roasted malt and bread or biscuit-like features that stem from the use of Munich malt
Schwarzbier;Mushroom Strudel, Munster-Style Cheese, Fruit Tart;These very dark brown to black beers have a surprisingly pale-colored foam head (not excessively brown) with good cling quality
Doppelbock;Pork or Ham, Strong Cheeses, German Chocolate Cake;the doppelbock beer style is very food-friendly and rich in melanoidins reminiscent of toasted bread. Color is copper to dark brown. Malty sweetness is dominant but should not be cloying
Traditional bock;Grilled Rib-Eye, Aged Swiss, Chocolate;Traditional bock beers are all-malt brews and are high in malt sweetness. Malt character should be a balance of sweetness and toasted or nut-like malt. “Bock” translates as “goat”!
Eisbock;Camembert, Game meats, pork;Aroma and flavour domintaed by rich malt and concentrated alcohol.
Kolsch;Bratwurst, Nutty Cheeses, Light Apricot Cake;The German-style Kolsch is light in color and malt character. This style’s fermentation process yields a light, vinous character which is accompanied by a slightly dry, crisp finish.
Altbier;Grilled Salmon, Emmental, Apple Pie;Altbier strikes a balance between hop and malt flavors and aromas, but can have low fruity esters and some peppery and floral hop aromas.
Biere de garde;Roasted Lamb with Mint, Soft Ripened Cheeses, Pecan Pie;Biere de Garde translates as “beer for keeping.” This style is characterized by a toasted malt aroma and slight malt sweetness. Flavor of alcohol is evident. Often bottle-conditioned, with some yeast character.
Oktoberfest;Kielbasa, Jalapeno Jack, Coconut Flan;Toasted bread or biscuit-like malt aroma and flavor is to be expected.  A stronger version was served at early Oktoberfest celebrations and became known as Oktoberfest. Today, the festival’s version of an Oktoberfest is quite a bit lighter than what American craft brewers consider an Oktoberfest.
Vienna;Grilled Meats and Vegetables, Mild Cheeses, Almond Biscotti;Vienna Lager ranges from copper to reddish brown in color. The beer is characterized by malty aroma and slight malt sweetness.
Cream ale;Salads, Mild Shellfish, Monterey Jack, Lemon Custard Tart;The American cream ale is a mild, pale, light-bodied ale, made using a warm fermentation (top or bottom fermenting yeast) and cold lagering.
Steam beer;The char of grilled meats will pair well with the caramel and toasty flavors of the beer;Malty balanced with hop bitterness and woody hop flavour
Smoked beer;Grilled Sausage, Red Dragon Cheddar, S'mores;Traditionally, brewers will cite the specific wood used to smoke the malt, and different woods will lend different flavors to the finished product
Barleywine;Moroccan Duck, English Stilton, Dark Chocolate;With a wide color range and characteristically high in alcohol content, this is a style that is often aged, as it evolves well over time.
English old (strong) ale;roast beef or lamb, and desserts like plum-walnut tart, toffee apple crisp and classic canolli;Well aged malty and fruity, high alcohol
Strong scotch ale;gamey meats like pheasant and quail, as well as more traditional roast pork, smoked salmon, or lamb;malty with caramel apparent, hints of roasted malt or smoky falvour.
